,timestamp,task,array,rec,VAD_0,DOA_0,VAD_1,DOA_1,J,MUSIC_0,MUSIC_1,MUSIC_time,aMUSIC_0,aMUSIC_time,NormMUSIC_0,NormMUSIC_1,NormMUSIC_time,aNormMUSIC_0,aNormMUSIC_1,aNormMUSIC_time,SRP_PHAT_0,SRP_PHAT_1,SRP_PHAT_time,aMUSIC_1
0,0.975,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,246.00000000000003,79.0,0.04714846611022949,78.0,0.07989096641540527,237.00000000000003,80.0,0.02965259552001953,342.0,76.0,0.04771995544433594,338.0,80.0,0.07022428512573242,
1,1.0125000000000002,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,239.99999999999997,79.0,0.024438142776489258,278.0,0.0385594367980957,228.00000000000003,79.0,0.021422147750854492,349.0,77.0,0.038728952407836914,183.0,79.0,0.07125425338745117,80.0
2,1.05,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,241.00000000000003,79.0,0.021304607391357422,277.0,0.037369728088378906,229.0,79.0,0.022033214569091797,273.0,78.0,0.037499427795410156,184.0,79.0,0.06945013999938965,80.0
3,1.0875000000000001,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,258.0,79.0,0.02154397964477539,273.0,0.03734445571899414,224.0,77.0,0.024039268493652344,213.0,79.0,0.03772854804992676,186.0,78.0,0.0699305534362793,81.0
4,1.125,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,259.0,82.0,0.022230863571166992,178.0,0.03978896141052246,187.0,78.0,0.02462911605834961,186.0,77.0,0.03751969337463379,188.0,78.0,0.07131600379943848,81.0
5,1.1625,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,275.0,81.0,0.022859573364257812,79.0,0.038338422775268555,181.0,79.0,0.021891355514526367,185.0,77.0,0.03848409652709961,191.0,78.0,0.07107400894165039,
6,1.2000000000000002,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,254.00000000000003,79.0,0.022604703903198242,291.0,0.03925132751464844,251.0,79.0,0.022052764892578125,290.0,78.0,0.04158830642700195,189.0,78.0,0.0812675952911377,78.0
7,1.2375,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,257.0,78.0,0.02240729331970215,275.0,0.037837982177734375,260.0,78.0,0.023863554000854492,277.0,77.0,0.03727269172668457,191.0,78.0,0.06990861892700195,77.0
8,1.2750000000000001,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,256.0,75.0,0.021615028381347656,255.00000000000003,0.036809444427490234,260.0,77.0,0.025090932846069336,271.0,76.0,0.038327932357788086,192.00000000000003,78.0,0.07198047637939453,74.0
9,1.3125,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,251.0,75.0,0.021880626678466797,236.00000000000003,0.038422584533691406,260.0,77.0,0.022488117218017578,267.0,76.0,0.03942608833312988,189.0,77.0,0.07016634941101074,74.0
10,1.35,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,238.0,73.0,0.02154707908630371,228.00000000000003,0.03825950622558594,270.0,75.0,0.021507978439331055,275.0,75.0,0.03756451606750488,194.0,76.0,0.07031941413879395,71.0
11,1.3875000000000002,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,199.0,77.0,0.02240753173828125,200.0,0.037980079650878906,190.0,78.0,0.022431373596191406,188.0,76.0,0.03897595405578613,189.0,78.0,0.07000207901000977,73.0
12,1.425,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,81.0,,0.021870136260986328,80.0,0.0382695198059082,189.0,79.0,0.021129846572875977,183.0,77.0,0.036847829818725586,189.0,78.0,0.07119607925415039,
13,1.4625000000000001,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,180.0,82.0,0.022150754928588867,82.0,0.03766655921936035,189.0,79.0,0.021146535873413086,189.0,77.0,0.03763890266418457,192.00000000000003,79.0,0.06961488723754883,
14,1.5,2.0,benchmark2,1.0,1.0,79.56745665251366,1.0,64.23044897551735,2.0,84.0,,0.022505998611450195,80.0,0.038947105407714844,206.0,79.0,0.02173900604248047,351.0,77.0,0.03765583038330078,189.0,79.0,0.07038235664367676,
