,name,duration,fs,path
0,5338-24640-0007.flac,17.55,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0007.flac
1,5338-24640-0008.flac,10.08,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0008.flac
2,5338-24640-0002.flac,9.83,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0002.flac
3,5338-24640-0009.flac,12.125,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0009.flac
4,5338-24640-0004.flac,9.66,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0004.flac
5,5338-24640-0000.flac,3.45,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0000.flac
6,5338-24640-0003.flac,6.42,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0003.flac
7,5338-24640-0001.flac,11.26,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0001.flac
8,5338-24640-0005.flac,15.21,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0005.flac
9,5338-24640-0006.flac,10.93,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/24640/5338-24640-0006.flac
10,5338-284437-0001.flac,9.05,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/284437/5338-284437-0001.flac
11,5338-284437-0012.flac,3.025,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/284437/5338-284437-0012.flac
12,5338-284437-0022.flac,10.08,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/284437/5338-284437-0022.flac
13,5338-284437-0000.flac,4.55,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/284437/5338-284437-0000.flac
14,5338-284437-0026.flac,15.925,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/284437/5338-284437-0026.flac
15,5338-284437-0030.flac,4.33,16000.0,/home/dicarlo_d/Documents/Code/alphaMUSIC/data/LibriSpeech/dev-clean/5338/284437/5338-284437-0030.flac
