,timestamp,task,array,rec,VAD_0,DOA_0,VAD_1,DOA_1,J,MUSIC_0,MUSIC_1,MUSIC_time,aMUSIC_0,aMUSIC_1,aMUSIC_time,NormMUSIC_0,NormMUSIC_1,NormMUSIC_time,aNormMUSIC_0,aNormMUSIC_1,aNormMUSIC_time,SRP_PHAT_0,SRP_PHAT_1,SRP_PHAT_time,VAD_2,DOA_2,MUSIC_2,aMUSIC_2,NormMUSIC_2,aNormMUSIC_2,SRP_PHAT_2
0,0.6375,2.0,dicit,3.0,0.0,61.93593227001442,0.0,43.68663584214714,1.0,116.00000000000001,73.0,0.009782075881958008,116.00000000000001,73.0,0.020104646682739258,116.00000000000001,73.0,0.009438276290893555,116.00000000000001,73.0,0.01921701431274414,116.00000000000001,73.0,0.028217554092407227,1.0,101.44908451473256,,,,,
1,0.6749999999999999,2.0,dicit,3.0,1.0,61.93593227001442,0.0,43.68663584214714,2.0,116.00000000000001,47.0,0.009732961654663086,116.00000000000001,48.00000000000001,0.020334720611572266,45.0,116.00000000000001,0.009297609329223633,47.0,116.00000000000001,0.019707441329956055,48.00000000000001,116.00000000000001,0.028144121170043945,1.0,101.44908451473256,,,,,
2,0.7125,2.0,dicit,3.0,1.0,61.93593227001442,0.0,43.68663584214714,2.0,116.00000000000001,46.0,0.00981593132019043,116.00000000000001,46.0,0.02034473419189453,45.0,116.00000000000001,0.00921177864074707,46.0,116.00000000000001,0.020201921463012695,46.0,116.00000000000001,0.028448820114135742,1.0,101.44908451473256,,,,,
3,0.75,2.0,dicit,3.0,1.0,61.93593227001442,0.0,43.68663584214714,2.0,116.00000000000001,46.0,0.010611772537231445,116.00000000000001,48.00000000000001,0.019737720489501953,45.0,116.00000000000001,0.009297370910644531,47.0,116.00000000000001,0.020051002502441406,47.0,116.00000000000001,0.027530908584594727,1.0,101.44908451473256,,,,,
4,0.7875,2.0,dicit,3.0,1.0,61.93593227001442,0.0,43.68663584214714,2.0,116.00000000000001,46.0,0.010530710220336914,116.00000000000001,47.0,0.01952052116394043,45.0,116.00000000000001,0.010158300399780273,46.0,116.00000000000001,0.019240379333496094,46.0,116.00000000000001,0.027260780334472656,1.0,101.44908451473256,,,,,
5,0.825,2.0,dicit,3.0,1.0,61.93593227001442,0.0,43.68663584214714,2.0,116.00000000000001,45.0,0.010694026947021484,116.00000000000001,47.0,0.01973247528076172,116.00000000000001,45.0,0.010126590728759766,116.00000000000001,45.0,0.019277095794677734,45.0,116.00000000000001,0.02715444564819336,1.0,101.44908451473256,,,,,
6,0.8624999999999999,2.0,dicit,3.0,1.0,61.93593227001442,0.0,43.68663584214714,2.0,116.00000000000001,45.0,0.010608673095703125,116.00000000000001,46.0,0.01955389976501465,116.00000000000001,45.0,0.010380029678344727,116.00000000000001,45.0,0.01951146125793457,45.0,116.00000000000001,0.028571367263793945,1.0,101.44908451473256,,,,,
7,0.9,2.0,dicit,3.0,1.0,61.93593227001442,0.0,43.68663584214714,2.0,116.00000000000001,44.0,0.009822607040405273,116.00000000000001,44.0,0.020200252532958984,116.00000000000001,44.0,0.009275674819946289,116.00000000000001,44.0,0.0195920467376709,45.0,116.00000000000001,0.028300762176513672,1.0,101.44908451473256,,,,,
8,0.9375,2.0,dicit,3.0,1.0,61.93593227001442,0.0,43.68663584214714,2.0,116.00000000000001,44.0,0.01064610481262207,116.00000000000001,45.0,0.019817113876342773,116.00000000000001,44.0,0.010216474533081055,116.00000000000001,44.0,0.019988059997558594,45.0,116.00000000000001,0.028697967529296875,1.0,101.44908451473256,,,,,
9,0.975,2.0,dicit,3.0,1.0,61.93593227001442,1.0,43.68663584214714,3.0,45.0,63.0,0.009872198104858398,45.0,63.0,0.020272493362426758,44.0,63.0,0.009267568588256836,45.0,63.0,0.019321203231811523,46.0,64.0,0.029369831085205078,1.0,101.44908451473256,116.00000000000001,115.0,116.00000000000001,115.0,116.00000000000001
10,1.0125000000000002,2.0,dicit,3.0,1.0,61.93593227001442,1.0,43.68663584214714,3.0,63.0,99.0,0.010523557662963867,62.0,114.00000000000001,0.021334409713745117,100.0,63.0,0.01063227653503418,100.0,63.0,0.019367456436157227,46.0,64.0,0.02812790870666504,1.0,101.44908451473256,115.0,91.0,115.0,115.0,116.00000000000001
11,1.05,2.0,dicit,3.0,1.0,61.93593227001442,1.0,43.68663584214714,3.0,98.0,63.0,0.009855508804321289,62.0,93.0,0.02044510841369629,99.0,63.0,0.009371519088745117,99.0,63.0,0.019717931747436523,63.0,116.00000000000001,0.028373241424560547,1.0,101.44908451473256,116.00000000000001,115.0,116.00000000000001,115.0,
12,1.0875000000000001,2.0,dicit,3.0,1.0,61.93593227001442,1.0,43.68663584214714,3.0,62.0,115.0,0.011359214782714844,115.0,62.0,0.020488977432250977,63.0,100.0,0.010928153991699219,62.0,115.0,0.02079939842224121,63.0,116.00000000000001,0.0283658504486084,1.0,101.44908451473256,100.0,100.0,115.0,100.0,
13,1.125,2.0,dicit,3.0,1.0,61.93593227001442,1.0,43.68663584214714,3.0,63.0,100.0,0.010698795318603516,63.0,115.0,0.019363880157470703,63.0,100.0,0.00938105583190918,63.0,115.0,0.020153522491455078,27.0,64.0,0.02719736099243164,1.0,101.44908451473256,116.00000000000001,101.0,116.00000000000001,101.0,116.00000000000001
14,1.1625,2.0,dicit,3.0,1.0,61.93593227001442,1.0,43.68663584214714,3.0,62.0,116.00000000000001,0.009931087493896484,62.0,114.00000000000001,0.019443273544311523,62.0,116.00000000000001,0.010139942169189453,62.0,115.0,0.019430875778198242,68.0,102.0,0.02817082405090332,1.0,101.44908451473256,101.0,101.0,101.0,101.0,115.0
